让子弹飞‎ (2010), 葛优 , 周润发 , 刘嘉玲 , 陈坤 , 张默 , 姜武 , 周韵
鬼子来了‎ (2000), 香川照之 , 袁丁 , 姜宏波 , 丛志军 , 喜子 , 泽田谦也 , 李海滨
邪不压正‎ (2018), 彭于晏 , 廖凡 , 周韵 , 许晴 , 泽田谦也 , 安地 , 史航
阳光灿烂的日子‎ (1994), 夏雨 , 宁静 , 陶虹 , 耿乐 , 斯琴高娃 , 冯小刚 , 刘小宁
太阳照常升起‎ (2007), 房祖名 , 周韵 , 黄秋生 , 陈冲 , 孔维 , 崔健 , 李加民
一步之遥‎ (2014), 葛优 , 周韵 , 舒淇 , 文章 , 王志文 , 洪晃 , 刘利年
施剑翘传‎ (2020), 周韵
父母爱情‎ (2020)
看球记‎ (2011), 刘利年
造梦者‎ (2015), 姚晨 , 洪晃
恰逢那年花开‎ (2019), 韩昀珊
第3届中国电影导演协会年度奖‎ (2012), 张猛 , 滕华涛 , 冯小刚 , 顾长卫 , 文章 , 葛优 , 周润发
第33届金马奖颁奖典礼 第33屆金馬獎頒獎典禮‎ (1996), 夏雨 , 萧芳芳 , 张国荣 , 顾长卫 , 王童 , 尔冬升 , 罗志良
